uei,recipient_name,city,state_code,openalex_id,ror,openalex_name,similarity
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,https://openalex.org/I169335092,https://ror.org/04fnxsj42,University of North Carolina at Greensboro,1.0
C148TBZATPA8,EMMA PENDLETON BRADLEY HOSPITAL,RIVERSIDE,RI,https://openalex.org/I2800634083,https://ror.org/02mx8nz45,Bradley Hospital,0.572
C155UU2TXCP3,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,https://openalex.org/I1285301757,https://ror.org/01j7c0b24,Rush University Medical Center,1.0
C169K7T4QZ96,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,https://openalex.org/I79516672,https://ror.org/01x8rc503,University of Louisiana at Lafayette,1.0
C186U32QSBR9,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH,CAMBRIDGE,MA,https://openalex.org/I4210157710,https://ror.org/04vqm6w82,Whitehead Institute for Biomedical Research,1.0
C1ABLRAQTB48,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,LOS ANGELES,CA,https://openalex.org/I27825529,,California State University Los Angeles,manual
C1CPANL3EWK4,"BETH ISRAEL DEACONESS MEDICAL CENTER, INC.",BOSTON,MA,https://openalex.org/I1316535847,https://ror.org/04drvxt59,Beth Israel Deaconess Medical Center,0.874
C1DEGMMKC7W7,THE UNIVERSITY OF TEXAS AT EL PASO,EL PASO,TX,https://openalex.org/I164936912,https://ror.org/04d5vba33,The University of Texas at El Paso,1.0
C1F5LNUF7W86,TRUSTEES OF TUFTS COLLEGE,BOSTON,MA,https://openalex.org/I121934306,,Tufts University,manual
C31ES3WEAVQ5,CATHOLIC UNIVERSITY OF AMERICA (THE),WASHINGTON,DC,https://openalex.org/I84470341,https://ror.org/047yk3s18,Catholic University of America,0.81
C3KXNLTAAY98,THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,SAN ANTONIO,TX,https://openalex.org/I165951966,https://ror.org/02f6dcw23,The University of Texas at San Antonio Health Science Center,1.0
C4BXLBC11LC6,SYRACUSE UNIVERSITY,SYRACUSE,NY,https://openalex.org/I70983195,https://ror.org/025r5qe02,Syracuse University,1.0
C5LHMPRJ9J19,THE FEINSTEIN INSTITUTES FOR MEDICAL RESEARCH,MANHASSET,NY,https://openalex.org/I1327576362,https://ror.org/05dnene97,Feinstein Institute for Medical Research,0.755
C6T9BYG5EYX5,BAYLOR UNIVERSITY,WACO,TX,https://openalex.org/I157394403,https://ror.org/005781934,Baylor University,1.0
C8H9CNG1VBD9,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NEW YORK,NY,https://openalex.org/I98704320,https://ror.org/04a9tmd77,Icahn School of Medicine at Mount Sinai,1.0
C9MRZK4B7K39,BIOSENSICS LLC,NEWTON,MA,https://openalex.org/I4210108346,,BioSensics (United States),manual
CDAQNZCL6287,THE RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK,ALBANY,NY,https://openalex.org/I4210111819,https://ror.org/01sfc5174,Research Foundation for the State University of New York,1.0
CFMMM5JM7HJ9,KANSAS STATE UNIVERSITY,MANHATTAN,KS,https://openalex.org/I189590672,https://ror.org/05p1j8758,Kansas State University,1.0
CGCDJ24JJLZ1,UNIVERSITY OF MASS AT BOSTON,DORCHESTER,MA,https://openalex.org/I111088046,https://ror.org/05qwgg493,Boston University,0.605
CJAJYT2KW771,SOUTH DAKOTA SCHOOL OF MINES & TECHNOLOGY,RAPID CITY,SD,https://openalex.org/I184647316,https://ror.org/00ch7yk27,South Dakota School of Mines and Technology,0.889
CJDNG9D14MW7,UNIVERSITY OF RHODE ISLAND,KINGSTON,RI,https://openalex.org/I17626003,https://ror.org/013ckk937,University of Rhode Island,1.0
CL7KJX2VFHS9,MISSOURI STATE UNIVERSITY,SPRINGFIELD,MO,https://openalex.org/I119942284,https://ror.org/01d2sez20,Missouri State University,1.0
CWKJEXDG79A7,BATTELLE MEMORIAL INSTITUTE,RICHLAND,WA,https://openalex.org/I1325736334,https://ror.org/01h5tnr73,Battelle,1.0
D27FSZD2L2U9,THE BOEING COMPANY,SAINT LOUIS,MO,https://openalex.org/I890505096,https://ror.org/017qqw141,Singer (United States),0.514
