fiscal_year,agency,domain_name,field_name,allocated_funding
2016,National Institutes of Health,Health Sciences,Medicine,8422212292.294029
2016,National Institutes of Health,Social Sciences,Social Sciences,2397324710.6439853
2016,National Institutes of Health,Life Sciences,"Biochemistry, Genetics and Molecular Biology",2345231409.1540027
2016,National Institutes of Health,Physical Sciences,Physics and Astronomy,1209935740.7871778
2016,National Institutes of Health,Social Sciences,Psychology,874509060.7467226
2016,National Institutes of Health,Physical Sciences,Engineering,734907453.0160252
2016,National Institutes of Health,Life Sciences,Neuroscience,712319835.6164354
2016,National Institutes of Health,Health Sciences,Health Professions,641649199.2287383
2016,National Institutes of Health,Life Sciences,Agricultural and Biological Sciences,620200067.6654727
2016,National Institutes of Health,Life Sciences,Immunology and Microbiology,613320075.4854636
2016,National Institutes of Health,Physical Sciences,Environmental Science,531356090.66002804
2016,National Institutes of Health,Social Sciences,"Economics, Econometrics and Finance",472477030.3332624
2016,National Institutes of Health,Physical Sciences,Computer Science,391468875.6665258
2016,National Institutes of Health,Physical Sciences,Mathematics,293056196.8962875
2016,National Institutes of Health,Physical Sciences,Earth and Planetary Sciences,288632516.87906116
2016,National Institutes of Health,Health Sciences,Veterinary,283910588.36667436
2016,National Institutes of Health,Social Sciences,Arts and Humanities,274334769.46586865
2016,National Institutes of Health,Social Sciences,"Business, Management and Accounting",220967982.8007153
2016,National Institutes of Health,Social Sciences,Decision Sciences,213974601.94482154
2016,National Institutes of Health,Physical Sciences,Materials Science,135129860.44400686
2016,National Institutes of Health,Physical Sciences,Chemistry,129506707.37011583
2016,National Institutes of Health,Health Sciences,Nursing,95539231.61767358
2016,National Institutes of Health,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",32306394.49508921
2016,National Institutes of Health,Health Sciences,Dentistry,25976271.47875523
2016,National Institutes of Health,Physical Sciences,Chemical Engineering,6966382.386087759
2016,National Institutes of Health,Physical Sciences,Energy,873643.5569732102
2016,National Science Foundation,Physical Sciences,Physics and Astronomy,904238401.2217654
2016,National Science Foundation,Social Sciences,Social Sciences,822436966.2947643
2016,National Science Foundation,Health Sciences,Medicine,718459267.9135075
2016,National Science Foundation,Physical Sciences,Engineering,618134383.0554525
2016,National Science Foundation,Physical Sciences,Environmental Science,411582957.676173
2016,National Science Foundation,Life Sciences,Agricultural and Biological Sciences,370385899.8096445
2016,National Science Foundation,Physical Sciences,Computer Science,306905255.4437091
2016,National Science Foundation,Physical Sciences,Earth and Planetary Sciences,260530197.01011083
2016,National Science Foundation,Social Sciences,Psychology,238333538.42274046
2016,National Science Foundation,Life Sciences,"Biochemistry, Genetics and Molecular Biology",236487312.23925582
2016,National Science Foundation,Physical Sciences,Mathematics,127769594.5218956
2016,National Science Foundation,Social Sciences,Arts and Humanities,126491247.96285754
2016,National Science Foundation,Physical Sciences,Materials Science,124659091.95036301
2016,National Science Foundation,Life Sciences,Neuroscience,113383083.7041995
2016,National Science Foundation,Health Sciences,Veterinary,102565889.45940882
2016,National Science Foundation,Health Sciences,Health Professions,100249345.0760976
2016,National Science Foundation,Social Sciences,"Economics, Econometrics and Finance",95944543.35000059
2016,National Science Foundation,Social Sciences,"Business, Management and Accounting",84370217.33928657
2016,National Science Foundation,Social Sciences,Decision Sciences,81023043.04087599
2016,National Science Foundation,Life Sciences,Immunology and Microbiology,43927545.20943023
2016,National Science Foundation,Physical Sciences,Chemistry,37777012.384172626
2016,National Science Foundation,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",8789359.289399931
2016,National Science Foundation,Health Sciences,Nursing,8591366.29081215
2016,National Science Foundation,Health Sciences,Dentistry,8006748.670238509
2016,National Science Foundation,Physical Sciences,Chemical Engineering,5391082.17368889
2016,National Science Foundation,Physical Sciences,Energy,559968.4901497011
2017,National Institutes of Health,Health Sciences,Medicine,8778889772.12816
2017,National Institutes of Health,Social Sciences,Social Sciences,2540833290.1044064
2017,National Institutes of Health,Life Sciences,"Biochemistry, Genetics and Molecular Biology",2470198368.8406963
2017,National Institutes of Health,Physical Sciences,Physics and Astronomy,1255197764.7364526
2017,National Institutes of Health,Social Sciences,Psychology,922728165.8610452
2017,National Institutes of Health,Physical Sciences,Engineering,779681736.6264774
2017,National Institutes of Health,Life Sciences,Neuroscience,767273569.859589
2017,National Institutes of Health,Life Sciences,Agricultural and Biological Sciences,677167859.7504044
2017,National Institutes of Health,Health Sciences,Health Professions,661958306.2657372
2017,National Institutes of Health,Life Sciences,Immunology and Microbiology,636277856.8441048
