uei,openalex_id,manually_audited
C13DF16LC3H4,https://openalex.org/I169335092,false
C148TBZATPA8,https://openalex.org/I2800634083,false
C155UU2TXCP3,https://openalex.org/I1285301757,false
C169K7T4QZ96,https://openalex.org/I79516672,false
C186U32QSBR9,https://openalex.org/I4210157710,false
C1ABLRAQTB48,https://openalex.org/I27825529,true
C1CPANL3EWK4,https://openalex.org/I1316535847,false
C1DEGMMKC7W7,https://openalex.org/I164936912,false
C1F5LNUF7W86,https://openalex.org/I121934306,true
C31ES3WEAVQ5,https://openalex.org/I84470341,false
C3KXNLTAAY98,https://openalex.org/I165951966,false
C4BXLBC11LC6,https://openalex.org/I70983195,false
C5LHMPRJ9J19,https://openalex.org/I1327576362,false
C6T9BYG5EYX5,https://openalex.org/I157394403,false
C8H9CNG1VBD9,https://openalex.org/I98704320,false
C9MRZK4B7K39,https://openalex.org/I4210108346,true
CDAQNZCL6287,https://openalex.org/I392282,true
CFMMM5JM7HJ9,https://openalex.org/I189590672,false
CGCDJ24JJLZ1,https://openalex.org/I33434090,true
CJAJYT2KW771,https://openalex.org/I184647316,false
CJDNG9D14MW7,https://openalex.org/I17626003,false
CL7KJX2VFHS9,https://openalex.org/I119942284,false
CWKJEXDG79A7,https://openalex.org/I142606810,true
D33QGS3Q3DJ3,https://openalex.org/I178169726,false
D3LHU66KBLD5,https://openalex.org/I114027177,false
D5S9JZ1KDP49,https://openalex.org/I4210093188,false
DAY7Z8ZD48Q3,https://openalex.org/I6750721,false
DBP4N9GHCA14,https://openalex.org/I2799691083,false
DDL5KU1YZLP3,https://openalex.org/I2800057969,true
DFNLDECWM8J8,https://openalex.org/I110152177,false
DKMDCB5HNBL7,https://openalex.org/I1298154867,false
DLTJBDQBGBC9,https://openalex.org/I118073183,false
DLUTVJJ15U66,https://openalex.org/I133999245,true
DLWBSLWAJWR1,https://openalex.org/I52357470,false
DMDEQP66JL85,https://openalex.org/I44265643,false
DMQNDJDHTDG4,https://openalex.org/I82497590,false
DNZNC466DGR7,https://openalex.org/I177156846,false
DPMGH9MG1X67,https://openalex.org/I4210117453,false
DQDBM7FGJPC5,https://openalex.org/I173911158,false
DRRKVZVXSND3,https://openalex.org/I4210144959,false
DRTAEZWWJHM8,https://openalex.org/I2800663845,false
DSLXBD7UWRV6,https://openalex.org/I81365321,false
DVHKP4N619V9,https://openalex.org/I3019308854,false
DVL1CMRMWRN9,https://openalex.org/I1336910626,false
DW1XZMGNFBL4,https://openalex.org/I102322052,false
DWH7MSXKA2A8,https://openalex.org/I200719446,false
DYZNJGLTHMR9,https://openalex.org/I137853757,false
DZ4YCZ3QSPR5,https://openalex.org/I63135867,true
DZFJT2KH9C43,https://openalex.org/I147853995,false
E13MDBKHLDB5,https://openalex.org/I186143895,false
E1KJM4T54MK6,https://openalex.org/I142740786,false
E2NDENMDUEG8,https://openalex.org/I180949307,false
E2NYLCDML6V1,https://openalex.org/I63966007,false
E3FDXZ6TBHW3,https://openalex.org/I27804330,false
E4SPG9ZLLE76,https://openalex.org/I4210159705,false
E4Z2NUYUMHF9,https://openalex.org/I926076166,false
E6KZG3MNE1D5,https://openalex.org/I4210095855,false
E8VWJXMMUQ67,https://openalex.org/I204308271,false
EADLFP7Z72E5,https://openalex.org/I162714631,false
EAL3QNJK3CB9,https://openalex.org/I125043107,true
EB8ASJBCFER9,https://openalex.org/I107672454,false
ECESTN2SSVH1,https://openalex.org/I164389053,false
ECQEYCHRNKJ4,https://openalex.org/I121820613,false
ECR5E2LU5BL6,https://openalex.org/I193531525,false
ED44Y3W6P7B9,https://openalex.org/I138006243,false
EGLKRQ5JBCZ7,https://openalex.org/I12315562,false
EJ3UF7TK8RT5,https://openalex.org/I23732399,true
EJABWGUJM228,https://openalex.org/I111455621,true
EJCVPNN1WFS5,https://openalex.org/I162577319,false
EJMHW8SL81L7,https://openalex.org/I102322142,false
EK93EZLLBSC4,https://openalex.org/I39694355,true
EKHKFP33NN53,https://openalex.org/I226560621,false
ELA9KB9GJCN8,https://openalex.org/I81365321,false
ELVQARY4EJZ4,https://openalex.org/I114073160,true
EMW9FC8J3HN4,https://openalex.org/I130701444,false
EN9DMTETW3N1,https://openalex.org/I185071736,false
ENBLDJUN4N73,https://openalex.org/I95457486,true
EQH8NQ4AXFT7,https://openalex.org/I91045830,true
ETGMYV7CKAJ7,https://openalex.org/I4210108049,true
EUYXHRL5MLL3,https://openalex.org/I125687163,true
EVTSTTLCEWS5,https://openalex.org/I8692664,false
EVWJPCY6AD97,https://openalex.org/I16285277,false
EXZVPWZBLUE8,https://openalex.org/I111979921,false
EYMJXLN2MFB4,https://openalex.org/I1314135232,false
EYNYSU6L8ZX6,https://openalex.org/I7863295,true
EZ4WPGRE1RD5,https://openalex.org/I57328836,false
F125YU6SWK59,https://openalex.org/I1325736334,false
F27KDXZMF9Y8,https://openalex.org/I5388228,false
F2VSMAKDH8Z7,https://openalex.org/I94658018,false
F3GJXVP1L166,https://openalex.org/I2802707430,false
F4BMNBQK9BM1,https://openalex.org/I2799844796,true
F4N1QNPB95M4,https://openalex.org/I78577930,false
F4SLJ5WF59F6,https://openalex.org/I71838634,false
F6G9C4HMNHW4,https://openalex.org/I110383171,false
F6XLTRUQJEN4,https://openalex.org/I169521973,false
F8THLJQSAF93,https://openalex.org/I145608581,false
FA4VKPTJRLY8,https://openalex.org/I81020160,true
FBYMGMHW4X95,https://openalex.org/I111088046,false
FDLEQSJ8FF63,https://openalex.org/I141472210,false
FDR5YF2K32X5,https://openalex.org/I12834331,false
FF1XVJMDYVR1,https://openalex.org/I169071179,false
FFM7VPAG8P92,https://openalex.org/I156087764,false
FFWJTXCKDLK5,https://openalex.org/I4210098573,false
FL6GV84CKN57,https://openalex.org/I32971472,false
FL8UNYTG72D1,https://openalex.org/I1301553790,false
FLJ7DQKLL226,https://openalex.org/I4210087915,true
FN2YCS2YAUW3,https://openalex.org/I75027704,false
FPU6XGFXMBE9,https://openalex.org/I107639228,false
FTAAW94S6LC6,https://openalex.org/I250520410,false
FTMTDMBR29C7,https://openalex.org/I145311948,false
FWY1FX3THXC5,https://openalex.org/I4210103622,false
FXKMA43NTV21,https://openalex.org/I181547552,false
FY85DRNMJAM4,https://openalex.org/I2802114983,false
FZRNFQTKADH1,https://openalex.org/I122266389,true
G15AG3BLLMH4,https://openalex.org/I59130452,true
G192A9HR62S5,https://openalex.org/I4210117944,false
G1THVER8BNL4,https://openalex.org/I368840534,false
G389MFAYJNG9,https://openalex.org/I169521973,false
G47WN1XZNWX9,https://openalex.org/I123534392,false
G56PUALJ3KT5,https://openalex.org/I205783295,false
G6VVMPNK4Y48,https://openalex.org/I77920804,true
G7MQPLSUX1L4,https://openalex.org/I1335321130,false
G88KLJR3KYT5,https://openalex.org/I1174212,false
G9QBQDH39DF4,https://openalex.org/I154570441,false
GBNGC495XA67,https://openalex.org/I179093154,false
GFKFBWG2TV98,https://openalex.org/I66958751,false
GGFBMCXBJLY1,https://openalex.org/I91045830,false
GKMSN3DA6P91,https://openalex.org/I11957088,false
GKPBCFV1QMM3,https://openalex.org/I4210146710,true
GL8EKK2U5YE9,https://openalex.org/I134522710,false
GM1XX56LEP58,https://openalex.org/I79576946,false
GM6EL1UH2L83,https://openalex.org/I1319261023,false
GMR5T8P487D7,https://openalex.org/I4210096322,false
GNJ7BBP73WE9,https://openalex.org/I27837315,false
GS3YEVSS12N6,https://openalex.org/I95457486,true
GT28BRBA2Q49,https://openalex.org/I1321305853,false
GTNBNWXJ12D5,https://openalex.org/I200719446,false
GV31TMFLPY88,https://openalex.org/I2750212522,false
GY8NMUZQXVS7,https://openalex.org/I49332381,true
GYLUH9UXHDX5,https://openalex.org/I901861585,false
