uei,fiscal_year,works_count,cited_by_count
C13DF16LC3H4,2016,984.0,24276.0
C13DF16LC3H4,2017,1032.0,33483.0
C13DF16LC3H4,2018,1026.0,25858.0
C13DF16LC3H4,2019,1140.0,27312.0
C13DF16LC3H4,2020,1442.0,25470.0
C13DF16LC3H4,2021,1418.0,19791.0
C13DF16LC3H4,2022,1400.0,14580.0
C13DF16LC3H4,2023,1379.0,12682.0
C13DF16LC3H4,2024,1203.0,4546.0
C13DF16LC3H4,2025,1253.0,1927.0
C13DF16LC3H4,2026,556.0,83.0
C148TBZATPA8,2016,74.0,3333.0
C148TBZATPA8,2017,69.0,1849.0
C148TBZATPA8,2018,57.0,4642.0
C148TBZATPA8,2019,78.0,1333.0
C148TBZATPA8,2020,82.0,1585.0
C148TBZATPA8,2021,87.0,1689.0
C148TBZATPA8,2022,95.0,832.0
C148TBZATPA8,2023,73.0,443.0
C148TBZATPA8,2024,106.0,394.0
C148TBZATPA8,2025,82.0,61.0
C148TBZATPA8,2026,42.0,6.0
C155UU2TXCP3,2016,1783.0,77484.0
C155UU2TXCP3,2017,2092.0,97974.0
C155UU2TXCP3,2018,2390.0,73391.0
C155UU2TXCP3,2019,2313.0,74628.0
C155UU2TXCP3,2020,2731.0,71411.0
C155UU2TXCP3,2021,2812.0,49155.0
C155UU2TXCP3,2022,2812.0,46015.0
C155UU2TXCP3,2023,2653.0,27617.0
C155UU2TXCP3,2024,2760.0,14155.0
C155UU2TXCP3,2025,2785.0,6724.0
C155UU2TXCP3,2026,1259.0,255.0
C169K7T4QZ96,2016,554.0,9523.0
C169K7T4QZ96,2017,646.0,11630.0
C169K7T4QZ96,2018,695.0,13083.0
C169K7T4QZ96,2019,779.0,18741.0
C169K7T4QZ96,2020,872.0,15112.0
C169K7T4QZ96,2021,860.0,11627.0
C169K7T4QZ96,2022,854.0,10160.0
C169K7T4QZ96,2023,1010.0,6356.0
C169K7T4QZ96,2024,933.0,4284.0
C169K7T4QZ96,2025,989.0,1699.0
C169K7T4QZ96,2026,487.0,61.0
C186U32QSBR9,2016,229.0,37203.0
C186U32QSBR9,2017,252.0,41530.0
C186U32QSBR9,2018,240.0,41908.0
C186U32QSBR9,2019,178.0,17796.0
C186U32QSBR9,2020,224.0,19604.0
C186U32QSBR9,2021,251.0,12537.0
C186U32QSBR9,2022,230.0,15428.0
C186U32QSBR9,2023,210.0,4804.0
C186U32QSBR9,2024,247.0,2946.0
C186U32QSBR9,2025,264.0,973.0
C186U32QSBR9,2026,132.0,68.0
C1ABLRAQTB48,2016,328.0,9853.0
C1ABLRAQTB48,2017,419.0,30828.0
C1ABLRAQTB48,2018,494.0,14395.0
C1ABLRAQTB48,2019,436.0,15665.0
C1ABLRAQTB48,2020,534.0,15105.0
C1ABLRAQTB48,2021,500.0,11397.0
C1ABLRAQTB48,2022,529.0,6386.0
C1ABLRAQTB48,2023,573.0,6284.0
C1ABLRAQTB48,2024,565.0,2343.0
C1ABLRAQTB48,2025,531.0,913.0
C1ABLRAQTB48,2026,235.0,23.0
C1CPANL3EWK4,2016,3329.0,208653.0
C1CPANL3EWK4,2017,3731.0,204612.0
C1CPANL3EWK4,2018,3594.0,177786.0
C1CPANL3EWK4,2019,4040.0,168229.0
C1CPANL3EWK4,2020,5054.0,214649.0
C1CPANL3EWK4,2021,4497.0,132324.0
C1CPANL3EWK4,2022,4255.0,102744.0
C1CPANL3EWK4,2023,4488.0,73009.0
C1CPANL3EWK4,2024,4563.0,47578.0
C1CPANL3EWK4,2025,4951.0,16244.0
C1CPANL3EWK4,2026,2423.0,844.0
C1DEGMMKC7W7,2016,1252.0,35024.0
C1DEGMMKC7W7,2017,1326.0,34191.0
C1DEGMMKC7W7,2018,1421.0,31948.0
C1DEGMMKC7W7,2019,1743.0,28476.0
C1DEGMMKC7W7,2020,1821.0,33354.0
C1DEGMMKC7W7,2021,1761.0,25831.0
C1DEGMMKC7W7,2022,1755.0,19129.0
C1DEGMMKC7W7,2023,1872.0,12939.0
C1DEGMMKC7W7,2024,2018.0,7788.0
C1DEGMMKC7W7,2025,2006.0,2996.0
C1DEGMMKC7W7,2026,1000.0,189.0
C1F5LNUF7W86,2016,2356.951448245933,111368.42687396782
C1F5LNUF7W86,2017,2830.054925976037,90886.60444811471
C1F5LNUF7W86,2018,2650.1701774797716,104524.89940919782
C1F5LNUF7W86,2019,2753.6203808274404,76894.470256473
C1F5LNUF7W86,2020,5049.951327748625,82488.68825915904
C1F5LNUF7W86,2021,3024.4358813108283,69735.97975221138
C1F5LNUF7W86,2022,2952.6137656108544,46297.59004979145
C1F5LNUF7W86,2023,3104.165018922726,32775.26474341654
