uei,fiscal_year,paper_count,award_count
C11KXJTP6ED1,2016,5,2
C11KXJTP6ED1,2017,5,4
C11KXJTP6ED1,2018,4,4
C11KXJTP6ED1,2019,2,2
C11KXJTP6ED1,2020,5,4
C11KXJTP6ED1,2021,8,5
C11KXJTP6ED1,2022,2,3
C11KXJTP6ED1,2023,4,6
C11KXJTP6ED1,2024,2,2
C11KXJTP6ED1,2025,3,3
C12LGNJ8FE57,2021,3,1
C12LGNJ8FE57,2023,2,1
C13DF16LC3H4,2016,27,16
C13DF16LC3H4,2017,34,17
C13DF16LC3H4,2018,41,22
C13DF16LC3H4,2019,55,22
C13DF16LC3H4,2020,66,31
C13DF16LC3H4,2021,62,32
C13DF16LC3H4,2022,54,29
C13DF16LC3H4,2023,61,35
C13DF16LC3H4,2024,50,31
C13DF16LC3H4,2025,54,31
C13XVQRKLNC6,2016,1,1
C13XVQRKLNC6,2017,2,1
C13XVQRKLNC6,2018,4,1
C13XVQRKLNC6,2019,2,1
C148TBZATPA8,2016,4,1
C148TBZATPA8,2017,9,4
C148TBZATPA8,2018,8,4
C148TBZATPA8,2019,17,8
C148TBZATPA8,2020,14,9
C148TBZATPA8,2021,26,15
C148TBZATPA8,2022,28,18
C148TBZATPA8,2023,26,18
C148TBZATPA8,2024,52,23
C148TBZATPA8,2025,41,20
C14QW1FDLCA8,2016,3,2
C14QW1FDLCA8,2017,1,1
C14QW1FDLCA8,2018,3,4
C14QW1FDLCA8,2019,1,2
C14QW1FDLCA8,2021,1,2
C14QW1FDLCA8,2022,3,2
C14QW1FDLCA8,2023,1,1
C14QW1FDLCA8,2024,1,1
C14QW1FDLCA8,2025,2,1
C151GPJLZXH3,2020,1,1
C151GPJLZXH3,2022,5,4
C151GPJLZXH3,2023,4,3
C151GPJLZXH3,2024,7,3
C151GPJLZXH3,2025,3,2
C155C9LUAK65,2020,1,1
C155UU2TXCP3,2016,332,105
C155UU2TXCP3,2017,308,107
C155UU2TXCP3,2018,341,117
C155UU2TXCP3,2019,350,117
C155UU2TXCP3,2020,374,145
C155UU2TXCP3,2021,407,139
C155UU2TXCP3,2022,414,156
C155UU2TXCP3,2023,465,154
C155UU2TXCP3,2024,447,154
C155UU2TXCP3,2025,482,136
C164SJKTL3J5,2023,2,1
C169K7T4QZ96,2016,6,2
C169K7T4QZ96,2017,6,2
C169K7T4QZ96,2018,4,2
C169K7T4QZ96,2019,5,2
C169K7T4QZ96,2020,11,3
C169K7T4QZ96,2021,12,4
C169K7T4QZ96,2022,12,7
C169K7T4QZ96,2023,10,4
C169K7T4QZ96,2024,9,4
C169K7T4QZ96,2025,6,4
C16RSM34A825,2022,1,1
C16RSM34A825,2024,1,1
C16VWS51B3C1,2016,5,2
C16VWS51B3C1,2017,7,2
C16VWS51B3C1,2018,10,2
C16VWS51B3C1,2019,9,1
C16VWS51B3C1,2020,7,1
C16VWS51B3C1,2021,6,1
C16VWS51B3C1,2022,3,1
